Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,covid_cases,covid_deaths
Symptoms of Anxiety Disorder or Depressive Disorder,By State,arkansas,Arkansas,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,39.0,34.8,43.4,34.8 - 43.4,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,california,California,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,38.6,36.3,40.8,36.3 - 40.8,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,colorado,Colorado,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,33.6,29.6,37.7,29.6 - 37.7,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,connecticut,Connecticut,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,35.1,31.8,38.5,31.8 - 38.5,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,delaware,Delaware,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,30.3,25.5,35.5,25.5 - 35.5,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,district of columbia,District of Columbia,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,33.0,28.1,38.2,28.1 - 38.2,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,florida,Florida,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,40.0,36.6,43.4,36.6 - 43.4,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,georgia,Georgia,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,34.9,31.0,39.0,31.0 - 39.0,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,hawaii,Hawaii,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,26.1,22.1,30.5,22.1 - 30.5,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,idaho,Idaho,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,31.8,27.1,36.7,27.1 - 36.7,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,illinois,Illinois,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,37.0,33.5,40.7,33.5 - 40.7,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,indiana,Indiana,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,36.2,32.6,40.0,32.6 - 40.0,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,iowa,Iowa,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,32.9,29.3,36.8,29.3 - 36.8,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,kansas,Kansas,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,32.0,28.1,36.1,28.1 - 36.1,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,kentucky,Kentucky,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,39.0,35.1,43.0,35.1 - 43.0,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,louisiana,Louisiana,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,36.3,32.1,40.7,32.1 - 40.7,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,maine,Maine,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,29.3,25.3,33.6,25.3 - 33.6,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,maryland,Maryland,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,30.8,27.5,34.2,27.5 - 34.2,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,massachusetts,Massachusetts,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,29.9,26.6,33.3,26.6 - 33.3,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,michigan,Michigan,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,34.5,31.2,37.9,31.2 - 37.9,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,minnesota,Minnesota,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,30.0,26.8,33.4,26.8 - 33.4,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,mississippi,Mississippi,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,38.7,34.2,43.5,34.2 - 43.5,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,missouri,Missouri,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,33.7,29.9,37.7,29.9 - 37.7,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,montana,Montana,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,28.6,23.3,34.4,23.3 - 34.4,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,nebraska,Nebraska,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,26.6,23.4,30.1,23.4 - 30.1,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,nevada,Nevada,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,34.2,30.3,38.3,30.3 - 38.3,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new hampshire,New Hampshire,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,31.8,27.9,35.8,27.9 - 35.8,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new jersey,New Jersey,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,36.5,32.9,40.3,32.9 - 40.3,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new mexico,New Mexico,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,39.5,34.6,44.6,34.6 - 44.6,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new york,New York,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,north carolina,North Carolina,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,33.0,29.2,37.1,29.2 - 37.1,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,north dakota,North Dakota,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,26.0,20.7,31.9,20.7 - 31.9,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,ohio,Ohio,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,37.0,32.7,41.5,32.7 - 41.5,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,oklahoma,Oklahoma,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,38.6,34.5,42.9,34.5 - 42.9,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,oregon,Oregon,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,39.5,35.8,43.3,35.8 - 43.3,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,pennsylvania,Pennsylvania,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,35.1,30.7,39.6,30.7 - 39.6,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,rhode island,Rhode Island,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,34.0,28.6,39.8,28.6 - 39.8,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,south carolina,South Carolina,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,35.6,31.0,40.4,31.0 - 40.4,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,south dakota,South Dakota,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,29.7,25.3,34.4,25.3 - 34.4,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,tennessee,Tennessee,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,33.6,29.7,37.6,29.7 - 37.6,31.7-34.2,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,texas,Texas,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,36.9,33.7,40.2,33.7 - 40.2,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,utah,Utah,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,34.5,31.3,37.8,31.3 - 37.8,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,vermont,Vermont,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,35.3,29.1,41.8,29.1 - 41.8,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,virginia,Virginia,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,31.4,28.0,35.0,28.0 - 35.0,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,washington,Washington,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,36.7,33.2,40.4,33.2 - 40.4,34.3-36.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,west virginia,West Virginia,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,38.9,32.9,45.0,32.9 - 45.0,37.0-40.0,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,wisconsin,Wisconsin,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,26.7,23.0,30.6,23.0 - 30.6,26.0-31.6,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,wyoming,Wyoming,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,32.9,27.2,38.9,27.2 - 38.9,31.7-34.2,0.0,0.0
Symptoms of Depressive Disorder,National Estimate,united states,United States,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.8,25.0,26.7,25.0 - 26.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,18 - 29 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,37.0,34.3,39.7,34.3 - 39.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,30 - 39 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,29.1,27.5,30.7,27.5 - 30.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,40 - 49 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.0,25.5,28.6,25.5 - 28.6,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,50 - 59 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.0,24.2,27.9,24.2 - 27.9,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,60 - 69 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.8,18.1,21.7,18.1 - 21.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,70 - 79 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,13.1,11.4,14.9,11.4 - 14.9,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,80 years and above,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,12.3,8.2,17.6,8.2 - 17.6,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Male,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,23.7,22.3,25.1,22.3 - 25.1,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Female,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.8,26.8,28.8,26.8 - 28.8,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,30.8,28.4,33.3,28.4 - 33.3,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,23.9,22.9,24.8,22.9 - 24.8,,0.0,0.0
Symptoms of Depressive Disorder,By State,louisiana,Louisiana,4.2,71,"Jul 23 - Aug 19, 2024",2024-07-23,2024-08-19,13.0,10.0,16.5,10.0 - 16.5,12.5-13.5,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,29.6,27.1,32.2,27.1 - 32.2,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.8,16.7,23.2,16.7 - 23.2,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,33.9,30.4,37.5,30.4 - 37.5,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Less than a high school diploma,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,37.1,33.3,40.9,33.3 - 40.9,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,High school diploma or GED,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.6,25.8,29.6,25.8 - 29.6,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Some college/Associate's degree,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,28.2,26.8,29.7,26.8 - 29.7,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Bachelor's degree or higher,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,18.9,18.1,19.7,18.1 - 19.7,,0.0,0.0
Symptoms of Depressive Disorder,By State,alabama,Alabama,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.7,22.7,33.1,22.7 - 33.1,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,alaska,Alaska,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.5,17.1,26.4,17.1 - 26.4,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,arizona,Arizona,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.5,23.0,30.2,23.0 - 30.2,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,arkansas,Arkansas,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.5,21.9,31.4,21.9 - 31.4,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,california,California,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,28.6,26.3,31.1,26.3 - 31.1,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,colorado,Colorado,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,23.9,20.4,27.8,20.4 - 27.8,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,connecticut,Connecticut,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,20.7,16.3,25.6,16.3 - 25.6,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,delaware,Delaware,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.3,20.3,30.7,20.3 - 30.7,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,district of columbia,District of Columbia,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.9,19.6,33.1,19.6 - 33.1,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,florida,Florida,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,30.2,26.2,34.5,26.2 - 34.5,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,georgia,Georgia,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.6,21.5,30.2,21.5 - 30.2,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,hawaii,Hawaii,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.5,16.1,23.3,16.1 - 23.3,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,idaho,Idaho,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.2,15.3,23.5,15.3 - 23.5,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,illinois,Illinois,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.9,23.8,32.3,23.8 - 32.3,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,indiana,Indiana,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,22.2,18.6,26.3,18.6 - 26.3,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,iowa,Iowa,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.7,21.0,30.9,21.0 - 30.9,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,kansas,Kansas,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,28.6,23.4,34.3,23.4 - 34.3,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,kentucky,Kentucky,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.5,21.6,29.7,21.6 - 29.7,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,louisiana,Louisiana,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,28.4,24.5,32.6,24.5 - 32.6,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,maine,Maine,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,20.6,15.6,26.4,15.6 - 26.4,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,maryland,Maryland,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,18.4,15.4,21.7,15.4 - 21.7,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,massachusetts,Massachusetts,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.8,17.4,26.8,17.4 - 26.8,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,michigan,Michigan,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.1,15.9,22.7,15.9 - 22.7,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,minnesota,Minnesota,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.7,16.1,23.7,16.1 - 23.7,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,mississippi,Mississippi,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,29.6,24.1,35.6,24.1 - 35.6,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,missouri,Missouri,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,23.1,18.2,28.7,18.2 - 28.7,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,montana,Montana,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,17.5,13.9,21.7,13.9 - 21.7,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,nebraska,Nebraska,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.7,17.5,26.3,17.5 - 26.3,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,nevada,Nevada,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.6,23.6,31.9,23.6 - 31.9,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,new hampshire,New Hampshire,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.2,21.3,31.5,21.3 - 31.5,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,new jersey,New Jersey,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.8,17.2,27.0,17.2 - 27.0,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,new mexico,New Mexico,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,23.7,18.8,29.2,18.8 - 29.2,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,new york,New York,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,28.5,24.0,33.2,24.0 - 33.2,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,north carolina,North Carolina,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.6,16.6,27.2,16.6 - 27.2,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,north dakota,North Dakota,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,14.7,10.8,19.2,10.8 - 19.2,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,ohio,Ohio,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.4,21.7,31.5,21.7 - 31.5,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,oklahoma,Oklahoma,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,24.7,20.3,29.5,20.3 - 29.5,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,oregon,Oregon,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.1,23.4,31.0,23.4 - 31.0,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,pennsylvania,Pennsylvania,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,24.7,20.2,29.6,20.2 - 29.6,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,rhode island,Rhode Island,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.0,15.1,23.4,15.1 - 23.4,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,south carolina,South Carolina,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.0,20.7,29.6,20.7 - 29.6,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,south dakota,South Dakota,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.2,15.6,27.7,15.6 - 27.7,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,tennessee,Tennessee,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.2,22.7,32.1,22.7 - 32.1,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,texas,Texas,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,30.3,26.6,34.2,26.6 - 34.2,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,utah,Utah,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.3,20.9,30.1,20.9 - 30.1,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,vermont,Vermont,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.1,19.1,31.9,19.1 - 31.9,25.1-27.2,0.0,0.0
Symptoms of Depressive Disorder,By State,virginia,Virginia,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.5,22.6,32.7,22.6 - 32.7,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,washington,Washington,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,21.4,18.4,24.6,18.4 - 24.6,21.3-25.0,0.0,0.0
Symptoms of Depressive Disorder,By State,west virginia,West Virginia,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.9,22.3,34.1,22.3 - 34.1,27.3-30.3,0.0,0.0
Symptoms of Depressive Disorder,By State,wisconsin,Wisconsin,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,19.5,16.1,23.3,16.1 - 23.3,14.7-21.2,0.0,0.0
Symptoms of Depressive Disorder,By State,wyoming,Wyoming,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,20.9,15.5,27.2,15.5 - 27.2,14.7-21.2,0.0,0.0
Symptoms of Anxiety Disorder,National Estimate,united states,United States,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,31.1,30.2,32.1,30.2 - 32.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,18 - 29 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,41.7,39.2,44.4,39.2 - 44.4,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,30 - 39 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,36.8,35.0,38.6,35.0 - 38.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,40 - 49 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,34.9,33.0,36.9,33.0 - 36.9,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,50 - 59 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,31.8,29.9,33.6,29.9 - 33.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,60 - 69 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,22.3,20.4,24.3,20.4 - 24.3,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,70 - 79 years,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,15.4,13.6,17.5,13.6 - 17.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,80 years and above,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,13.7,9.4,19.1,9.4 - 19.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Sex,united states,Male,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,26.8,25.4,28.4,25.4 - 28.4,,0.0,0.0
Symptoms of Anxiety Disorder,By Sex,united states,Female,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,35.1,34.1,36.1,34.1 - 36.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,34.0,31.6,36.6,31.6 - 36.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,29.6,28.7,30.6,28.7 - 30.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,34.6,31.7,37.5,31.7 - 37.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,25.6,21.9,29.5,21.9 - 29.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,40.4,36.0,44.8,36.0 - 44.8,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Less than a high school diploma,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,36.9,33.6,40.4,33.6 - 40.4,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,High school diploma or GED,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,31.0,28.9,33.1,28.9 - 33.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Some college/Associate's degree,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,33.6,32.2,35.1,32.2 - 35.1,,0.0,0.0
